movie,lead
To Kill a Mockingbird,Gregory Peck
Yôjinbô,Toshirô Mifune
Judgment at Nuremberg,Spencer Tracy
Some Like It Hot,Marilyn Monroe
Smultronstället,Victor Sjöström
Det sjunde inseglet,Max von Sydow
Du rififi chez les hommes,Jean Servais
Dial M for Murder,Ray Milland
Tôkyô monogatari,Chishû Ryû
Rashômon,Toshirô Mifune
All About Eve,Bette Davis
The Treasure of the Sierra Madre,Humphrey Bogart
To Be or Not to Be,Carole Lombard
The Gold Rush,Charles Chaplin
Sherlock Jr.,Buster Keaton
Portrait de la jeune fille en feu,Noémie Merlant
Pink,Taapsee Pannu
Koe no katachi,Miyu Irino
Contratiempo,Mario Casas
Ah-ga-ssi,Kim Min-hee
Mommy,Anne Dorval
Haider,Shahid Kapoor
Logan,Hugh Jackman
Room,Brie Larson
Relatos salvajes,Darío Grandinetti
Soul,Kemp Powers
Kis Uykusu,Haluk Bilginer
PK,Aamir Khan
OMG: Oh My God!,Paresh Rawal
The Grand Budapest Hotel,Ralph Fiennes
Gone Girl,Ben Affleck
Ôkami kodomo no Ame to Yuki,Aoi Miyazaki
Hacksaw Ridge,Andrew Garfield
Inside Out,Ronnie Del Carmen
Barfi!,Ranbir Kapoor
12 Years a Slave,Chiwetel Ejiofor
Rush,Daniel Brühl
Ford v Ferrari,Matt Damon
Spotlight,Mark Ruffalo
Song of the Sea,David Rawle
Kahaani,Vidya Balan
Zindagi Na Milegi Dobara,Hrithik Roshan
Prisoners,Hugh Jackman
Mad Max: Fury Road,Tom Hardy
A Wednesday,Anupam Kher
Gran Torino,Clint Eastwood
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe
Okuribito,Masahiro Motoki
Hachi: A Dog's Tale,Richard Gere
Mary and Max,Toni Collette
How to Train Your Dragon,Chris Sanders
Into the Wild,Emile Hirsch
No Country for Old Men,Joel Coen
Lage Raho Munna Bhai,Sanjay Dutt
Million Dollar Baby,Hilary Swank
Hotel Rwanda,Don Cheadle
Taegukgi hwinalrimyeo,Jang Dong-Gun
Before Sunset,Ethan Hawke
Munna Bhai M.B.B.S.,Sanjay Dutt
Salinui chueok,Kang-ho Song
Dil Chahta Hai,Aamir Khan
Kill Bill: Vol. 1,Uma Thurman
Finding Nemo,Lee Unkrich
Catch Me If You Can,Leonardo DiCaprio
Amores perros,Emilio Echevarría
"Monsters, Inc.",David Silverman
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Kazuya Tsurumaki
Lagaan: Once Upon a Time in India,Aamir Khan
The Sixth Sense,Bruce Willis
La leggenda del pianista sull'oceano,Tim Roth
The Truman Show,Jim Carrey
"Crna macka, beli macor",Bajram Severdzan
The Big Lebowski,Ethan Coen
Fa yeung nin wah,Tony Chiu-Wai Leung
Trainspotting,Ewan McGregor
Fargo,Ethan Coen
Underground,Predrag 'Miki' Manojlovic
La haine,Vincent Cassel
Dilwale Dulhania Le Jayenge,Shah Rukh Khan
Before Sunrise,Ethan Hawke
Trois couleurs: Rouge,Irène Jacob
Chung Hing sam lam,Brigitte Lin
Jurassic Park,Sam Neill
In the Name of the Father,Daniel Day-Lewis
Ba wang bie ji,Leslie Cheung
Dà hóng denglong gaogao guà,Gong Li
Dead Poets Society,Robin Williams
Stand by Me,Wil Wheaton
Platoon,Charlie Sheen
"Paris, Texas",Harry Dean Stanton
Kaze no tani no Naushika,Sumi Shimamoto
The Thing,Kurt Russell
Pink Floyd: The Wall,Bob Geldof
Fitzcarraldo,Klaus Kinski
Fanny och Alexander,Bertil Guve
Blade Runner,Harrison Ford
The Elephant Man,Anthony Hopkins
Life of Brian,Graham Chapman
The Deer Hunter,Robert De Niro
Rocky,Sylvester Stallone
Network,Faye Dunaway
Barry Lyndon,Ryan O'Neal
Zerkalo,Margarita Terekhova
Chinatown,Jack Nicholson
Paper Moon,Ryan O'Neal
Viskningar och rop,Harriet Andersson
Solaris,Natalya Bondarchuk
Le samouraï,Alain Delon
Cool Hand Luke,Paul Newman
Persona,Bibi Andersson
Andrei Rublev,Anatoliy Solonitsyn
La battaglia di Algeri,Brahim Hadjadj
El ángel exterminador,Silvia Pinal
What Ever Happened to Baby Jane?,Bette Davis
Sanjuro,Toshirô Mifune
The Man Who Shot Liberty Valance,James Stewart
Ivanovo detstvo,Eduard Abalov
Jungfrukällan,Max von Sydow
Inherit the Wind,Spencer Tracy
Les quatre cents coups,Jean-Pierre Léaud
Ben-Hur,Charlton Heston
Kakushi-toride no san-akunin,Toshirô Mifune
Le notti di Cabiria,Giulietta Masina
Kumonosu-jô,Toshirô Mifune
The Bridge on the River Kwai,William Holden
On the Waterfront,Marlon Brando
Le salaire de la peur,Yves Montand
Ace in the Hole,Kirk Douglas
White Heat,James Cagney
The Third Man,Orson Welles
The Red Shoes,Emeric Pressburger
The Shop Around the Corner,Margaret Sullavan
Rebecca,Laurence Olivier
Mr. Smith Goes to Washington,James Stewart
Gone with the Wind,George Cukor
La Grande Illusion,Jean Gabin
It Happened One Night,Clark Gable
La passion de Jeanne d'Arc,Maria Falconetti
The Circus,Charles Chaplin
Sunrise: A Song of Two Humans,George O'Brien
The General,Buster Keaton
Das Cabinet des Dr. Caligari,Werner Krauss
Badhaai ho,Ayushmann Khurrana
Togo,Willem Dafoe
Airlift,Akshay Kumar
Bajrangi Bhaijaan,Salman Khan
Baby,Akshay Kumar
La La Land,Ryan Gosling
Lion,Dev Patel
The Martian,Matt Damon
Zootopia,Rich Moore
Bãhubali: The Beginning,Prabhas
Kaguyahime no monogatari,Chloë Grace Moretz
Wonder,Jacob Tremblay
Gully Boy,Vijay Varma
Special Chabbis,Akshay Kumar
Short Term 12,Brie Larson
Serbuan maut 2: Berandal,Iko Uwais
The Imitation Game,Benedict Cumberbatch
Guardians of the Galaxy,Chris Pratt
Blade Runner 2049,Harrison Ford
Her,Joaquin Phoenix
Bohemian Rhapsody,Rami Malek
The Revenant,Leonardo DiCaprio
The Perks of Being a Wallflower,Logan Lerman
Tropa de Elite 2: O Inimigo Agora é Outro,Wagner Moura
The King's Speech,Colin Firth
The Help,Emma Stone
Deadpool,Ryan Reynolds
Darbareye Elly,Golshifteh Farahani
Dev.D,Abhay Deol
Yip Man,Donnie Yen
My Name Is Khan,Shah Rukh Khan
Nefes: Vatan Sagolsun,Erdem Can
Slumdog Millionaire,Loveleen Tandan
Black Swan,Natalie Portman
Tropa de Elite,Wagner Moura
The Avengers,Robert Downey Jr.
Persepolis,Marjane Satrapi
Dallas Buyers Club,Matthew McConaughey
The Pursuit of Happyness,Will Smith
Blood Diamond,Leonardo DiCaprio
The Bourne Ultimatum,Matt Damon
Bin-jip,Seung-Yun Lee
Sin City,Quentin Tarantino
Le scaphandre et le papillon,Laura Obiols
G.O.R.A.,Cem Yilmaz
Ratatouille,Jan Pinkava
Casino Royale,Daniel Craig
Kill Bill: Vol. 2,Uma Thurman
Vozvrashchenie,Vladimir Garin
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Ki-duk Kim
Mar adentro,Javier Bardem
Cinderella Man,Russell Crowe
Kal Ho Naa Ho,Preity Zinta
Mou gaan dou,Alan Mak
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
Big Fish,Ewan McGregor
The Incredibles,Craig T. Nelson
Yeopgijeogin geunyeo,Tae-Hyun Cha
Dogville,Nicole Kidman
Vizontele,Ömer Faruk Sorak
Donnie Darko,Jake Gyllenhaal
Magnolia,Tom Cruise
Dancer in the Dark,Björk
The Straight Story,Richard Farnsworth
Pâfekuto burû,Junko Iwao
Festen,Ulrich Thomsen
Central do Brasil,Fernanda Montenegro
