movie,lead
Coraline,Dakota Fanning
The Last Samurai,Tom Cruise
The Magdalene Sisters,Eileen Walsh
Good Bye Lenin!,Daniel Brühl
In America,Paddy Considine
I Am Sam,Sean Penn
Adaptation.,Nicolas Cage
Black Hawk Down,Josh Hartnett
Road to Perdition,Tom Hanks
Das Experiment,Moritz Bleibtreu
Billy Elliot,Jamie Bell
Hedwig and the Angry Inch,John Cameron Mitchell
Ocean's Eleven,George Clooney
Vampire Hunter D: Bloodlust,Andrew Philpot
"O Brother, Where Art Thou?",Ethan Coen
Interstate 60: Episodes of the Road,James Marsden
"South Park: Bigger, Longer & Uncut",Trey Parker
Office Space,Ron Livingston
Happiness,Jane Adams
Training Day,Denzel Washington
Rushmore,Jason Schwartzman
Abre los ojos,Eduardo Noriega
Being John Malkovich,John Cusack
As Good as It Gets,Jack Nicholson
The Fifth Element,Bruce Willis
Le dîner de cons,Thierry Lhermitte
Donnie Brasco,Al Pacino
Shine,Geoffrey Rush
Primal Fear,Richard Gere
Hamlet,Kenneth Branagh
A Little Princess,Liesel Matthews
Do lok tin si,Leon Lai
Il postino,Massimo Troisi
Clerks,Brian O'Halloran
Short Cuts,Andie MacDowell
Philadelphia,Tom Hanks
The Muppet Christmas Carol,Michael Caine
Malcolm X,Denzel Washington
The Last of the Mohicans,Daniel Day-Lewis
Kurenai no buta,Shûichirô Moriyama
Glengarry Glen Ross,Al Pacino
A Few Good Men,Tom Cruise
Fried Green Tomatoes,Kathy Bates
Barton Fink,Ethan Coen
Miller's Crossing,Ethan Coen
Who Framed Roger Rabbit,Bob Hoskins
Spoorloos,Bernard-Pierre Donnadieu
Withnail & I,Richard E. Grant
The Last Emperor,John Lone
Empire of the Sun,Christian Bale
Der Name der Rose,Sean Connery
Blue Velvet,Isabella Rossellini
The Purple Rose of Cairo,Mia Farrow
After Hours,Griffin Dunne
Zelig,Woody Allen
The Verdict,Paul Newman
Star Trek II: The Wrath of Khan,William Shatner
First Blood,Sylvester Stallone
Ordinary People,Donald Sutherland
Airplane!,David Zucker
Rupan sansei: Kariosutoro no shiro,Yasuo Yamada
Halloween,Donald Pleasence
Le locataire,Roman Polanski
Love and Death,Woody Allen
The Taking of Pelham One Two Three,Walter Matthau
Blazing Saddles,Cleavon Little
Serpico,Al Pacino
Enter the Dragon,Bruce Lee
Deliverance,Jon Voight
The French Connection,Gene Hackman
Dirty Harry,Clint Eastwood
Where Eagles Dare,Richard Burton
The Odd Couple,Jack Lemmon
The Dirty Dozen,Lee Marvin
Belle de jour,Catherine Deneuve
A Man for All Seasons,Paul Scofield
Repulsion,Catherine Deneuve
Zulu,Stanley Baker
Goldfinger,Sean Connery
The Birds,Rod Taylor
Cape Fear,Gregory Peck
Peeping Tom,Karlheinz Böhm
The Magnificent Seven,Yul Brynner
Les yeux sans visage,Pierre Brasseur
Invasion of the Body Snatchers,Kevin McCarthy
Rebel Without a Cause,James Dean
The Ladykillers,Alec Guinness
Sabrina,Humphrey Bogart
The Quiet Man,John Wayne
The Day the Earth Stood Still,Michael Rennie
The African Queen,Humphrey Bogart
Gilda,Rita Hayworth
Fantasia,Samuel Armstrong
The Invisible Man,Claude Rains
Dark Waters,Mark Ruffalo
Searching,John Cho
Once Upon a Time... in Hollywood,Leonardo DiCaprio
Nelyubov,Maryana Spivak
The Florida Project,Brooklynn Prince
Just Mercy,Michael B. Jordan
Gifted,Chris Evans
The Peanut Butter Falcon,Michael Schwartz
Victoria,Laia Costa
Mustang,Günes Sensoy
Guardians of the Galaxy Vol. 2,Chris Pratt
Baby Driver,Ansel Elgort
Only the Brave,Josh Brolin
Bridge of Spies,Tom Hanks
Incredibles 2,Craig T. Nelson
Moana,John Musker
Sicario,Emily Blunt
Creed,Michael B. Jordan
Leviafan,Aleksey Serebryakov
Hell or High Water,Chris Pine
Philomena,Judi Dench
Dawn of the Planet of the Apes,Gary Oldman
El cuerpo,Jose Coronado
Serbuan maut,Iko Uwais
End of Watch,Jake Gyllenhaal
Kari-gurashi no Arietti,Amy Poehler
A Star Is Born,Lady Gaga
True Grit,Joel Coen
Hævnen,Mikael Persbrandt
Despicable Me,Chris Renaud
50/50,Joseph Gordon-Levitt
Kick-Ass,Aaron Taylor-Johnson
Celda 211,Luis Tosar
Moneyball,Brad Pitt
La piel que habito,Antonio Banderas
Zombieland,Jesse Eisenberg
Die Welle,Jürgen Vogel
Sherlock Holmes,Robert Downey Jr.
The Blind Side,Quinton Aaron
The Visitor,Richard Jenkins
Seven Pounds,Will Smith
Eastern Promises,Naomi Watts
Stardust,Charlie Cox
The Secret of Kells,Nora Twomey
Inside Man,Denzel Washington
Gone Baby Gone,Morgan Freeman
La Vie En Rose,Marion Cotillard
Huo Yuan Jia,Jet Li
The Illusionist,Edward Norton
Dead Man's Shoes,Paddy Considine
Harry Potter and the Half-Blood Prince,Daniel Radcliffe
300,Gerard Butler
Match Point,Scarlett Johansson
Watchmen,Jackie Earle Haley
Lord of War,Nicolas Cage
Saw,Cary Elwes
"Synecdoche, New York",Philip Seymour Hoffman
Mysterious Skin,Brady Corbet
Jeux d'enfants,Guillaume Canet
Un long dimanche de fiançailles,Audrey Tautou
The Station Agent,Peter Dinklage
21 Grams,Sean Penn
Boksuneun naui geot,Kang-ho Song
Finding Neverland,Johnny Depp
25th Hour,Edward Norton
The Butterfly Effect,J. Mackye Gruber
28 Days Later...,Cillian Murphy
Batoru rowaiaru,Tatsuya Fujiwara
The Royal Tenenbaums,Gene Hackman
Y tu mamá también,Maribel Verdú
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe
The Others,Nicole Kidman
Blow,Johnny Depp
Enemy at the Gates,Jude Law
Minority Report,Tom Cruise
The Hurricane,Denzel Washington
American Psycho,Christian Bale
Lola rennt,Franka Potente
The Thin Red Line,Jim Caviezel
Mulan,Barry Cook
Fear and Loathing in Las Vegas,Johnny Depp
Funny Games,Susanne Lothar
Dark City,Rufus Sewell
Sleepers,Robert De Niro
Lost Highway,Bill Pullman
Sense and Sensibility,Emma Thompson
Die Hard: With a Vengeance,Bruce Willis
Dead Man,Johnny Depp
The Bridges of Madison County,Clint Eastwood
Apollo 13,Tom Hanks
Trois couleurs: Blanc,Zbigniew Zamachowski
Falling Down,Michael Douglas
Dazed and Confused,Jason London
My Cousin Vinny,Joe Pesci
Omohide poro poro,Miki Imai
Delicatessen,Jean-Pierre Jeunet
Home Alone,Macaulay Culkin
The Godfather: Part III,Al Pacino
When Harry Met Sally...,Billy Crystal
The Little Mermaid,John Musker
The Naked Gun: From the Files of Police Squad!,Leslie Nielsen
"Planes, Trains & Automobiles",Steve Martin
Lethal Weapon,Mel Gibson
Blood Simple,Ethan Coen
On Golden Pond,Katharine Hepburn
Mad Max 2,Mel Gibson
The Warriors,Michael Beck
The Muppet Movie,Jim Henson
Escape from Alcatraz,Clint Eastwood
Watership Down,John Hubley
Midnight Express,Brad Davis
Close Encounters of the Third Kind,Richard Dreyfuss
The Long Goodbye,Elliott Gould
Giù la testa,Rod Steiger
Kelly's Heroes,Clint Eastwood
The Jungle Book,Phil Harris
Blowup,David Hemmings
A Hard Day's Night,John Lennon
Breakfast at Tiffany's,Audrey Hepburn
Giant,Elizabeth Taylor
From Here to Eternity,Burt Lancaster
Lifeboat,Tallulah Bankhead
The 39 Steps,Robert Donat
